iter	Passed	Remaining
0	11	5478
1	26	6332
2	37	5793
3	47	5527
4	57	5370
5	67	5272
6	78	5197
7	89	5194
8	99	5140
9	113	5231
10	123	5169
11	133	5127
12	143	5081
13	154	5056
14	164	5018
15	175	5001
16	186	4997
17	197	4969
18	207	4942
19	217	4917
20	227	4891
21	238	4884
22	249	4870
23	259	4851
24	270	4829
25	280	4809
26	291	4801
27	308	4895
28	324	4957
29	337	4969
30	349	4965
31	359	4948
32	370	4927
33	382	4927
34	392	4904
35	403	4890
36	414	4874
37	424	4853
38	436	4848
39	447	4836
40	458	4816
41	468	4796
42	479	4780
43	489	4760
44	502	4766
45	515	4772
46	526	4764
47	538	4754
48	548	4736
49	559	4719
50	570	4711
51	581	4693
52	591	4676
53	602	4660
54	612	4641
55	622	4622
56	632	4605
57	643	4590
58	653	4573
59	664	4560
60	674	4544
61	685	4530
62	695	4512
63	705	4497
64	715	4481
65	725	4463
66	735	4448
67	746	4436
68	756	4421
69	768	4412
70	778	4397
71	789	4384
72	799	4369
73	811	4364
74	821	4349
75	832	4335
76	843	4326
77	853	4312
78	864	4298
79	874	4287
80	885	4273
81	895	4259
82	905	4245
83	916	4231
84	926	4217
85	936	4204
86	946	4189
87	957	4179
88	967	4165
89	982	4169
90	993	4159
91	1004	4147
92	1014	4134
93	1024	4121
94	1035	4108
95	1045	4095
96	1057	4086
97	1068	4075
98	1078	4062
99	1090	4057
100	1101	4046
101	1111	4033
102	1124	4028
103	1134	4016
104	1145	4004
105	1156	3993
106	1166	3980
107	1177	3967
108	1187	3954
109	1197	3941
110	1208	3928
111	1218	3915
112	1228	3904
113	1239	3892
114	1249	3878
115	1260	3867
116	1272	3862
117	1283	3850
118	1294	3838
119	1305	3829
120	1315	3816
121	1325	3803
122	1338	3796
123	1355	3803
124	1367	3797
125	1379	3789
126	1392	3781
127	1403	3772
128	1414	3760
129	1424	3748
130	1434	3735
131	1445	3722
132	1455	3710
133	1466	3698
134	1476	3685
135	1486	3673
136	1497	3660
137	1507	3648
138	1518	3638
139	1528	3624
140	1538	3612
141	1550	3603
142	1561	3591
143	1573	3584
144	1584	3573
145	1594	3561
146	1606	3550
147	1616	3538
148	1626	3525
149	1636	3513
150	1649	3507
151	1660	3495
152	1670	3483
153	1681	3471
154	1691	3459
155	1701	3447
156	1712	3435
157	1729	3436
158	1742	3430
159	1754	3422
160	1766	3412
161	1777	3401
162	1788	3389
163	1798	3377
164	1809	3365
165	1820	3355
166	1830	3343
167	1840	3330
168	1851	3319
169	1862	3308
170	1872	3295
171	1886	3290
172	1897	3280
173	1908	3268
174	1919	3257
175	1929	3244
176	1939	3232
177	1950	3221
178	1962	3212
179	1972	3199
180	1982	3187
181	1992	3175
182	2002	3162
183	2012	3150
184	2023	3138
185	2033	3126
186	2043	3114
187	2053	3102
188	2063	3089
189	2073	3077
190	2084	3066
191	2095	3056
192	2105	3044
193	2116	3032
194	2126	3020
195	2136	3008
196	2147	2997
197	2157	2986
198	2168	2974
199	2180	2964
200	2190	2952
201	2200	2941
202	2211	2929
203	2221	2917
204	2235	2911
205	2252	2908
206	2266	2901
207	2281	2895
208	2294	2886
209	2305	2875
210	2315	2864
211	2326	2852
212	2336	2841
213	2347	2830
214	2358	2818
215	2368	2807
216	2379	2796
217	2390	2784
218	2400	2773
219	2411	2762
220	2421	2750
221	2432	2738
222	2442	2727
223	2453	2716
224	2463	2704
225	2473	2692
226	2484	2681
227	2494	2669
228	2504	2657
229	2515	2647
230	2526	2635
231	2536	2623
232	2546	2612
233	2557	2600
234	2567	2589
235	2577	2577
236	2587	2566
237	2598	2554
238	2608	2543
239	2618	2531
240	2629	2520
241	2639	2508
242	2650	2497
243	2660	2486
244	2671	2475
245	2681	2463
246	2692	2452
247	2702	2441
248	2713	2429
249	2724	2419
250	2734	2407
251	2744	2395
252	2754	2384
253	2764	2373
254	2775	2362
255	2791	2355
256	2804	2346
257	2816	2335
258	2827	2325
259	2838	2314
260	2848	2303
261	2859	2292
262	2872	2282
263	2888	2275
264	2901	2266
265	2913	2256
266	2925	2246
267	2936	2235
268	2947	2224
269	2958	2213
270	2968	2201
271	2978	2190
272	2989	2179
273	2999	2167
274	3011	2157
275	3023	2146
276	3033	2135
277	3043	2124
278	3054	2112
279	3064	2101
280	3074	2089
281	3087	2080
282	3098	2069
283	3108	2057
284	3118	2046
285	3128	2034
286	3139	2023
287	3149	2012
288	3159	2000
289	3170	1989
290	3181	1978
291	3191	1967
292	3201	1956
293	3212	1944
294	3222	1933
295	3232	1922
296	3243	1910
297	3253	1899
298	3266	1890
299	3276	1878
300	3287	1867
301	3298	1856
302	3308	1845
303	3319	1834
304	3329	1823
305	3339	1811
306	3350	1800
307	3360	1789
308	3371	1778
309	3384	1768
310	3394	1757
311	3405	1746
312	3415	1735
313	3425	1723
314	3435	1712
315	3446	1701
316	3457	1690
317	3467	1679
318	3477	1668
319	3488	1656
320	3498	1645
321	3510	1635
322	3521	1624
323	3532	1613
324	3542	1602
325	3552	1591
326	3563	1580
327	3573	1569
328	3584	1557
329	3595	1546
330	3605	1535
331	3615	1524
332	3625	1513
333	3635	1502
334	3646	1491
335	3656	1479
336	3666	1468
337	3676	1457
338	3686	1446
339	3696	1435
340	3706	1423
341	3716	1412
342	3727	1401
343	3738	1391
344	3749	1380
345	3760	1369
346	3770	1358
347	3781	1347
348	3791	1336
349	3801	1325
350	3811	1313
351	3821	1302
352	3831	1291
353	3842	1280
354	3852	1269
355	3862	1258
356	3872	1247
357	3882	1236
358	3892	1225
359	3902	1214
360	3912	1203
361	3922	1192
362	3932	1180
363	3942	1169
364	3952	1158
365	3962	1147
366	3973	1136
367	3983	1125
368	3993	1114
369	4003	1103
370	4013	1092
371	4023	1081
372	4033	1070
373	4043	1059
374	4053	1048
375	4063	1037
376	4074	1026
377	4084	1015
378	4094	1004
379	4104	993
380	4116	983
381	4126	972
382	4136	961
383	4146	950
384	4156	939
385	4166	928
386	4176	917
387	4186	906
388	4196	895
389	4206	884
390	4216	873
391	4226	862
392	4236	851
393	4247	840
394	4257	829
395	4267	819
396	4277	808
397	4287	797
398	4297	786
399	4307	775
400	4317	764
401	4327	753
402	4337	742
403	4347	731
404	4357	720
405	4367	710
406	4379	699
407	4389	688
408	4399	677
409	4409	666
410	4419	655
411	4429	645
412	4439	634
413	4450	623
414	4460	612
415	4471	601
416	4481	591
417	4492	580
418	4502	569
419	4513	558
420	4527	548
421	4538	537
422	4549	527
423	4559	516
424	4570	505
425	4580	494
426	4590	483
427	4601	473
428	4611	462
429	4621	451
430	4632	440
431	4642	429
432	4652	419
433	4663	408
434	4673	397
435	4683	386
436	4693	375
437	4703	365
438	4714	354
439	4724	343
440	4734	332
441	4749	322
442	4763	311
443	4774	301
444	4788	290
445	4800	279
446	4813	269
447	4825	258
448	4838	247
449	4849	237
450	4861	226
451	4871	215
452	4882	204
453	4892	193
454	4904	183
455	4917	172
456	4928	161
457	4938	150
458	4949	140
459	4959	129
460	4970	118
461	4981	107
462	4993	97
463	5004	86
464	5014	75
465	5025	64
466	5035	53
467	5045	43
468	5056	32
469	5066	21
470	5080	10
471	5091	0
