name,type14_T1.G.1_T1.G.1_gap2,type14_T1.G.1_T1.G.2_gap2,type14_T1.G.2_T1.G.1_gap2,type14_T1.G.2_T1.G.2_gap2,target
ACP_positive_1,3.0,2.0,3.0,0.0,1
ACP_positive_2,1.0,1.0,1.0,0.0,1
ACP_positive_3,2.0,2.0,1.0,2.0,1
ACP_positive_4,2.0,2.0,2.0,1.0,1
ACP_positive_5,6.0,3.0,0.0,1.0,1
ACP_positive_6,0.0,2.0,0.0,0.0,1
ACP_positive_7,1.0,2.0,2.0,0.0,1
ACP_positive_8,2.0,1.0,1.0,0.0,1
ACP_positive_9,1.0,0.0,1.0,2.0,1
ACP_positive_10,4.0,0.0,2.0,1.0,1
ACP_positive_11,3.0,2.0,1.0,1.0,1
ACP_positive_12,3.0,2.0,0.0,2.0,1
ACP_positive_13,5.0,2.0,2.0,0.0,1
ACP_positive_14,1.0,2.0,0.0,1.0,1
ACP_positive_15,1.0,2.0,0.0,0.0,1
ACP_positive_16,2.0,1.0,1.0,0.0,1
ACP_positive_17,2.0,2.0,1.0,0.0,1
ACP_positive_18,3.0,1.0,2.0,2.0,1
ACP_positive_19,2.0,3.0,0.0,1.0,1
ACP_positive_20,3.0,2.0,1.0,2.0,1
ACP_positive_21,0.0,2.0,2.0,0.0,1
ACP_positive_22,5.0,3.0,1.0,0.0,1
ACP_positive_23,1.0,0.0,4.0,0.0,1
ACP_positive_24,1.0,0.0,2.0,1.0,1
ACP_positive_25,1.0,1.0,1.0,3.0,1
ACP_positive_26,4.0,3.0,2.0,0.0,1
ACP_positive_27,6.0,1.0,1.0,0.0,1
ACP_positive_28,3.0,1.0,0.0,0.0,1
ACP_positive_29,3.0,0.0,3.0,0.0,1
ACP_positive_30,1.0,0.0,2.0,1.0,1
ACP_positive_31,0.0,4.0,0.0,1.0,1
ACP_positive_32,1.0,2.0,1.0,3.0,1
ACP_positive_33,2.0,0.0,1.0,0.0,1
ACP_positive_34,2.0,2.0,1.0,3.0,1
ACP_positive_35,8.0,1.0,1.0,0.0,1
ACP_positive_36,7.0,3.0,1.0,5.0,1
ACP_positive_37,11.0,2.0,1.0,1.0,1
