name,type3A_T1.G.1_T1.G.1_gap2,type3A_T1.G.1_T1.G.2_gap2,type3A_T1.G.2_T1.G.1_gap2,type3A_T1.G.2_T1.G.2_gap2,target
ACP_positive_1,8.0,0.0,0.0,0.0,1
ACP_positive_2,3.0,0.0,0.0,0.0,1
ACP_positive_3,7.0,0.0,0.0,0.0,1
ACP_positive_4,7.0,0.0,0.0,0.0,1
ACP_positive_5,9.0,0.0,1.0,0.0,1
ACP_positive_6,2.0,0.0,0.0,0.0,1
ACP_positive_7,5.0,0.0,0.0,0.0,1
ACP_positive_8,4.0,0.0,0.0,0.0,1
ACP_positive_9,4.0,0.0,0.0,0.0,1
ACP_positive_10,6.0,0.0,1.0,0.0,1
ACP_positive_11,7.0,0.0,0.0,0.0,1
ACP_positive_12,7.0,0.0,0.0,0.0,1
ACP_positive_13,8.0,1.0,0.0,0.0,1
ACP_positive_14,4.0,0.0,0.0,0.0,1
ACP_positive_15,3.0,0.0,0.0,0.0,1
ACP_positive_16,4.0,0.0,0.0,0.0,1
ACP_positive_17,5.0,0.0,0.0,0.0,1
ACP_positive_18,8.0,0.0,0.0,0.0,1
ACP_positive_19,6.0,0.0,0.0,0.0,1
ACP_positive_20,8.0,0.0,0.0,0.0,1
ACP_positive_21,4.0,0.0,0.0,0.0,1
ACP_positive_22,9.0,0.0,0.0,0.0,1
ACP_positive_23,5.0,0.0,0.0,0.0,1
ACP_positive_24,4.0,0.0,0.0,0.0,1
ACP_positive_25,6.0,0.0,0.0,0.0,1
ACP_positive_26,9.0,0.0,0.0,0.0,1
ACP_positive_27,8.0,0.0,0.0,0.0,1
ACP_positive_28,4.0,0.0,0.0,0.0,1
ACP_positive_29,6.0,0.0,0.0,0.0,1
ACP_positive_30,4.0,0.0,0.0,0.0,1
ACP_positive_31,4.0,1.0,0.0,0.0,1
ACP_positive_32,6.0,1.0,0.0,0.0,1
ACP_positive_33,3.0,0.0,0.0,0.0,1
ACP_positive_34,8.0,0.0,0.0,0.0,1
ACP_positive_35,9.0,0.0,1.0,0.0,1
ACP_positive_36,13.0,2.0,1.0,0.0,1
ACP_positive_37,15.0,0.0,0.0,0.0,1
ACP_positive_38,7.0,0.0,0.0,0.0,1
ACP_positive_39,4.0,1.0,0.0,0.0,1
ACP_positive_40,10.0,0.0,0.0,0.0,1
ACP_positive_41,4.0,0.0,0.0,0.0,1
ACP_positive_42,8.0,0.0,0.0,0.0,1
ACP_positive_43,4.0,0.0,0.0,0.0,1
ACP_positive_44,8.0,0.0,0.0,0.0,1
ACP_positive_45,10.0,0.0,0.0,0.0,1
ACP_positive_46,3.0,0.0,0.0,0.0,1
ACP_positive_47,10.0,0.0,0.0,0.0,1
ACP_positive_48,4.0,0.0,0.0,0.0,1
ACP_positive_49,7.0,0.0,0.0,0.0,1
ACP_positive_50,5.0,0.0,0.0,0.0,1
ACP_positive_51,6.0,0.0,0.0,0.0,1
ACP_positive_52,3.0,0.0,1.0,0.0,1
ACP_positive_53,12.0,1.0,0.0,0.0,1
ACP_positive_54,5.0,0.0,0.0,0.0,1
ACP_positive_55,5.0,0.0,0.0,0.0,1
ACP_positive_56,10.0,0.0,0.0,0.0,1
ACP_positive_57,5.0,0.0,0.0,0.0,1
ACP_positive_58,6.0,0.0,0.0,0.0,1
ACP_positive_59,8.0,0.0,0.0,0.0,1
ACP_positive_60,10.0,0.0,0.0,0.0,1
ACP_positive_61,4.0,0.0,0.0,0.0,1
ACP_positive_62,4.0,0.0,0.0,0.0,1
ACP_positive_63,2.0,0.0,0.0,0.0,1
ACP_positive_64,6.0,0.0,0.0,0.0,1
ACP_positive_65,4.0,0.0,0.0,0.0,1
ACP_positive_66,5.0,0.0,0.0,0.0,1
ACP_positive_67,5.0,0.0,0.0,0.0,1
ACP_positive_68,10.0,0.0,0.0,0.0,1
ACP_positive_69,6.0,1.0,0.0,0.0,1
ACP_positive_70,6.0,1.0,0.0,0.0,1
ACP_positive_71,4.0,0.0,0.0,0.0,1
ACP_positive_72,3.0,0.0,0.0,0.0,1
ACP_positive_73,8.0,1.0,0.0,0.0,1
ACP_positive_74,5.0,0.0,0.0,0.0,1
ACP_positive_75,10.0,0.0,0.0,0.0,1
ACP_positive_76,7.0,0.0,0.0,0.0,1
ACP_positive_77,10.0,1.0,0.0,0.0,1
ACP_positive_78,10.0,1.0,0.0,0.0,1
ACP_positive_79,9.0,1.0,0.0,0.0,1
ACP_positive_80,4.0,0.0,0.0,0.0,1
ACP_positive_81,4.0,0.0,0.0,0.0,1
ACP_positive_82,4.0,0.0,0.0,0.0,1
ACP_positive_83,5.0,0.0,1.0,1.0,1
ACP_positive_84,13.0,0.0,0.0,0.0,1
ACP_positive_85,6.0,0.0,0.0,0.0,1
ACP_positive_86,6.0,0.0,0.0,0.0,1
ACP_positive_87,2.0,1.0,1.0,0.0,1
ACP_positive_88,4.0,0.0,0.0,0.0,1
ACP_positive_89,5.0,0.0,0.0,0.0,1
ACP_positive_90,5.0,0.0,0.0,0.0,1
ACP_positive_91,11.0,1.0,0.0,0.0,1
ACP_positive_92,5.0,0.0,0.0,0.0,1
ACP_positive_93,4.0,0.0,0.0,0.0,1
ACP_positive_94,6.0,0.0,0.0,0.0,1
ACP_positive_95,4.0,0.0,0.0,0.0,1
ACP_positive_96,8.0,0.0,0.0,0.0,1
ACP_positive_97,8.0,0.0,0.0,0.0,1
ACP_positive_98,13.0,0.0,0.0,0.0,1
ACP_positive_99,5.0,0.0,0.0,0.0,1
ACP_positive_100,4.0,1.0,0.0,0.0,1
ACP_positive_101,10.0,0.0,0.0,0.0,1
ACP_positive_102,7.0,0.0,1.0,0.0,1
ACP_positive_103,4.0,0.0,0.0,0.0,1
ACP_positive_104,6.0,0.0,0.0,0.0,1
ACP_positive_105,8.0,0.0,0.0,0.0,1
ACP_positive_106,7.0,0.0,0.0,0.0,1
ACP_positive_107,4.0,0.0,0.0,0.0,1
ACP_positive_108,4.0,0.0,0.0,0.0,1
ACP_positive_109,7.0,0.0,1.0,0.0,1
ACP_positive_110,4.0,0.0,0.0,0.0,1
ACP_positive_111,4.0,0.0,0.0,0.0,1
ACP_positive_112,8.0,0.0,0.0,0.0,1
ACP_positive_113,6.0,0.0,0.0,0.0,1
ACP_positive_114,7.0,0.0,0.0,0.0,1
ACP_positive_115,9.0,1.0,0.0,0.0,1
ACP_positive_116,12.0,0.0,0.0,0.0,1
ACP_positive_117,7.0,0.0,0.0,0.0,1
ACP_positive_118,7.0,0.0,0.0,0.0,1
ACP_positive_119,5.0,0.0,0.0,0.0,1
ACP_positive_120,9.0,0.0,0.0,0.0,1
ACP_positive_121,7.0,0.0,0.0,0.0,1
ACP_positive_122,10.0,0.0,1.0,0.0,1
ACP_positive_123,10.0,0.0,0.0,0.0,1
ACP_positive_124,13.0,0.0,0.0,0.0,1
ACP_positive_125,6.0,0.0,0.0,0.0,1
ACP_positive_126,16.0,0.0,0.0,0.0,1
ACP_positive_127,6.0,0.0,0.0,0.0,1
ACP_positive_128,6.0,0.0,0.0,0.0,1
ACP_positive_129,5.0,0.0,0.0,0.0,1
ACP_positive_130,4.0,0.0,0.0,0.0,1
ACP_positive_131,7.0,1.0,0.0,0.0,1
ACP_positive_132,5.0,0.0,0.0,0.0,1
ACP_positive_133,3.0,0.0,0.0,0.0,1
ACP_positive_134,13.0,0.0,0.0,0.0,1
ACP_positive_135,3.0,0.0,0.0,0.0,1
ACP_positive_136,3.0,0.0,0.0,0.0,1
ACP_positive_137,6.0,0.0,0.0,0.0,1
ACP_positive_138,6.0,0.0,0.0,0.0,1
ACP_positive_139,10.0,0.0,1.0,0.0,1
ACP_positive_140,9.0,0.0,1.0,0.0,1
ACP_positive_141,3.0,0.0,0.0,0.0,1
ACP_positive_142,3.0,0.0,0.0,0.0,1
ACP_positive_143,5.0,0.0,0.0,0.0,1
ACP_positive_144,8.0,0.0,0.0,0.0,1
ACP_positive_145,2.0,0.0,1.0,0.0,1
ACP_positive_146,5.0,0.0,0.0,0.0,1
ACP_positive_147,12.0,0.0,1.0,0.0,1
ACP_positive_148,4.0,0.0,0.0,0.0,1
ACP_positive_149,5.0,0.0,0.0,0.0,1
ACP_positive_150,2.0,0.0,2.0,0.0,1
ACP_positive_151,5.0,0.0,0.0,0.0,1
ACP_positive_152,5.0,0.0,0.0,0.0,1
ACP_positive_153,10.0,0.0,0.0,0.0,1
ACP_positive_154,7.0,0.0,0.0,0.0,1
ACP_positive_155,7.0,0.0,0.0,0.0,1
ACP_positive_156,12.0,0.0,0.0,0.0,1
ACP_positive_157,4.0,0.0,0.0,0.0,1
ACP_positive_158,5.0,0.0,0.0,0.0,1
ACP_positive_159,5.0,0.0,0.0,0.0,1
ACP_positive_160,6.0,0.0,0.0,0.0,1
ACP_positive_161,4.0,0.0,0.0,0.0,1
ACP_positive_162,5.0,1.0,1.0,0.0,1
ACP_positive_163,8.0,0.0,0.0,0.0,1
ACP_positive_164,5.0,1.0,0.0,0.0,1
ACP_positive_165,5.0,0.0,0.0,0.0,1
ACP_positive_166,5.0,0.0,0.0,0.0,1
ACP_positive_167,4.0,0.0,0.0,0.0,1
ACP_positive_168,2.0,0.0,2.0,0.0,1
ACP_positive_169,9.0,1.0,0.0,0.0,1
ACP_positive_170,4.0,0.0,0.0,0.0,1
ACP_positive_171,4.0,0.0,0.0,0.0,1
ACP_positive_172,3.0,0.0,0.0,0.0,1
ACP_positive_173,5.0,0.0,2.0,0.0,1
ACP_positive_174,12.0,0.0,0.0,0.0,1
ACP_positive_175,5.0,0.0,0.0,0.0,1
ACP_positive_176,2.0,0.0,2.0,0.0,1
ACP_positive_177,4.0,0.0,0.0,0.0,1
ACP_positive_178,6.0,0.0,0.0,0.0,1
ACP_positive_179,6.0,0.0,0.0,0.0,1
ACP_positive_180,9.0,0.0,0.0,0.0,1
ACP_positive_181,6.0,0.0,0.0,0.0,1
ACP_positive_182,4.0,0.0,0.0,0.0,1
ACP_positive_183,8.0,0.0,0.0,0.0,1
ACP_positive_184,8.0,1.0,0.0,0.0,1
ACP_positive_185,6.0,0.0,0.0,0.0,1
ACP_positive_186,13.0,0.0,1.0,0.0,1
ACP_positive_187,3.0,0.0,1.0,0.0,1
ACP_positive_188,11.0,1.0,2.0,0.0,1
ACP_positive_189,7.0,1.0,0.0,0.0,1
ACP_positive_190,5.0,0.0,0.0,0.0,1
ACP_positive_191,4.0,0.0,0.0,0.0,1
ACP_positive_192,4.0,0.0,0.0,0.0,1
ACP_positive_193,12.0,0.0,1.0,0.0,1
ACP_positive_194,7.0,0.0,0.0,0.0,1
ACP_positive_195,4.0,0.0,0.0,0.0,1
ACP_positive_196,2.0,0.0,0.0,0.0,1
ACP_positive_197,5.0,0.0,0.0,0.0,1
ACP_positive_198,10.0,0.0,0.0,0.0,1
ACP_positive_199,5.0,0.0,0.0,0.0,1
ACP_positive_200,11.0,0.0,0.0,0.0,1
ACP_positive_201,10.0,0.0,0.0,0.0,1
ACP_positive_202,4.0,0.0,0.0,0.0,1
ACP_positive_203,13.0,0.0,0.0,0.0,1
ACP_positive_204,4.0,0.0,0.0,0.0,1
ACP_positive_205,6.0,0.0,0.0,0.0,1
ACP_positive_206,6.0,0.0,0.0,0.0,1
ACP_positive_207,8.0,0.0,0.0,0.0,1
ACP_positive_208,6.0,0.0,0.0,0.0,1
ACP_positive_209,9.0,0.0,0.0,0.0,1
ACP_positive_210,5.0,0.0,0.0,0.0,1
ACP_positive_211,8.0,0.0,0.0,0.0,1
ACP_positive_212,7.0,1.0,0.0,0.0,1
ACP_positive_213,14.0,1.0,0.0,0.0,1
ACP_positive_214,5.0,0.0,0.0,0.0,1
ACP_positive_215,1.0,1.0,2.0,0.0,1
ACP_positive_216,10.0,0.0,0.0,0.0,1
ACP_positive_217,7.0,0.0,0.0,0.0,1
ACP_positive_218,5.0,0.0,0.0,0.0,1
ACP_positive_219,6.0,0.0,0.0,0.0,1
ACP_positive_220,3.0,0.0,1.0,0.0,1
ACP_positive_221,3.0,1.0,0.0,0.0,1
ACP_positive_222,6.0,0.0,3.0,0.0,1
ACP_positive_223,7.0,0.0,0.0,0.0,1
ACP_positive_224,5.0,0.0,2.0,0.0,1
ACP_positive_225,8.0,1.0,0.0,0.0,1
ACP_positive_226,13.0,0.0,0.0,0.0,1
ACP_positive_227,12.0,0.0,1.0,0.0,1
ACP_positive_228,5.0,1.0,0.0,0.0,1
ACP_positive_229,10.0,0.0,0.0,0.0,1
ACP_positive_230,3.0,0.0,1.0,0.0,1
ACP_positive_231,12.0,1.0,0.0,0.0,1
ACP_positive_232,5.0,0.0,0.0,0.0,1
ACP_positive_233,9.0,0.0,0.0,0.0,1
ACP_positive_234,4.0,1.0,0.0,0.0,1
ACP_positive_235,7.0,0.0,0.0,0.0,1
ACP_positive_236,4.0,0.0,0.0,0.0,1
ACP_positive_237,10.0,0.0,0.0,0.0,1
ACP_positive_238,6.0,0.0,0.0,0.0,1
ACP_positive_239,6.0,3.0,0.0,0.0,1
ACP_positive_240,2.0,0.0,0.0,0.0,1
ACP_positive_241,4.0,0.0,0.0,0.0,1
ACP_positive_242,8.0,0.0,0.0,0.0,1
ACP_positive_243,5.0,0.0,0.0,0.0,1
ACP_positive_244,4.0,0.0,0.0,0.0,1
ACP_positive_245,4.0,0.0,0.0,0.0,1
ACP_positive_246,7.0,1.0,0.0,0.0,1
ACP_positive_247,9.0,1.0,0.0,0.0,1
ACP_positive_248,7.0,0.0,0.0,0.0,1
ACP_positive_249,5.0,0.0,0.0,0.0,1
ACP_positive_250,5.0,0.0,1.0,0.0,1
ACP_positive_251,8.0,0.0,0.0,0.0,1
ACP_positive_252,8.0,0.0,0.0,0.0,1
ACP_positive_253,4.0,0.0,0.0,0.0,1
ACP_positive_254,9.0,0.0,0.0,0.0,1
ACP_positive_255,16.0,0.0,1.0,0.0,1
ACP_positive_256,10.0,0.0,0.0,0.0,1
ACP_positive_257,4.0,0.0,0.0,0.0,1
ACP_positive_258,2.0,0.0,0.0,0.0,1
ACP_positive_259,4.0,1.0,0.0,0.0,1
ACP_positive_260,4.0,0.0,0.0,0.0,1
ACP_positive_261,1.0,1.0,2.0,0.0,1
ACP_positive_262,14.0,0.0,0.0,0.0,1
ACP_positive_263,5.0,0.0,0.0,0.0,1
ACP_positive_264,9.0,1.0,0.0,0.0,1
ACP_positive_265,4.0,1.0,0.0,0.0,1
ACP_positive_266,9.0,0.0,0.0,0.0,1
ACP_positive_267,4.0,0.0,0.0,0.0,1
ACP_positive_268,10.0,0.0,0.0,0.0,1
ACP_positive_269,3.0,0.0,2.0,0.0,1
ACP_positive_270,6.0,0.0,0.0,0.0,1
ACP_positive_271,6.0,0.0,0.0,0.0,1
ACP_positive_272,4.0,0.0,0.0,0.0,1
ACP_positive_273,10.0,1.0,0.0,0.0,1
ACP_positive_274,6.0,1.0,0.0,0.0,1
ACP_positive_275,7.0,0.0,0.0,0.0,1
ACP_positive_276,4.0,0.0,0.0,0.0,1
ACP_positive_277,3.0,1.0,0.0,0.0,1
ACP_positive_278,5.0,2.0,0.0,0.0,1
ACP_positive_279,5.0,0.0,0.0,0.0,1
ACP_positive_280,9.0,1.0,0.0,0.0,1
ACP_positive_281,4.0,0.0,0.0,0.0,1
ACP_positive_282,3.0,0.0,0.0,0.0,1
ACP_positive_283,7.0,0.0,0.0,0.0,1
ACP_positive_284,5.0,0.0,0.0,0.0,1
ACP_positive_285,7.0,0.0,0.0,0.0,1
ACP_positive_286,8.0,0.0,0.0,0.0,1
ACP_positive_287,9.0,0.0,0.0,0.0,1
ACP_positive_288,4.0,0.0,0.0,0.0,1
ACP_positive_289,12.0,0.0,0.0,0.0,1
ACP_positive_290,9.0,0.0,1.0,0.0,1
ACP_positive_291,4.0,0.0,0.0,0.0,1
ACP_positive_292,8.0,1.0,0.0,0.0,1
ACP_positive_293,14.0,0.0,0.0,0.0,1
ACP_positive_294,10.0,0.0,1.0,0.0,1
ACP_positive_295,8.0,0.0,0.0,0.0,1
ACP_positive_296,9.0,0.0,0.0,0.0,1
ACP_positive_297,5.0,1.0,0.0,0.0,1
ACP_positive_298,11.0,0.0,2.0,0.0,1
ACP_positive_299,4.0,0.0,0.0,0.0,1
ACP_positive_300,4.0,0.0,0.0,0.0,1
ACP_positive_301,13.0,0.0,1.0,0.0,1
ACP_positive_302,4.0,0.0,0.0,0.0,1
ACP_positive_303,6.0,0.0,0.0,0.0,1
ACP_positive_304,4.0,0.0,0.0,0.0,1
ACP_positive_305,5.0,0.0,0.0,0.0,1
ACP_positive_306,7.0,0.0,0.0,0.0,1
ACP_positive_307,5.0,1.0,0.0,0.0,1
ACP_positive_308,6.0,0.0,0.0,0.0,1
ACP_positive_309,4.0,0.0,0.0,0.0,1
ACP_positive_310,8.0,0.0,0.0,0.0,1
ACP_positive_311,4.0,1.0,0.0,0.0,1
ACP_positive_312,12.0,1.0,0.0,0.0,1
ACP_positive_313,8.0,0.0,0.0,0.0,1
ACP_positive_314,6.0,0.0,0.0,0.0,1
ACP_positive_315,1.0,0.0,1.0,0.0,1
ACP_positive_316,4.0,0.0,0.0,0.0,1
ACP_positive_317,5.0,0.0,0.0,0.0,1
ACP_positive_318,4.0,0.0,0.0,0.0,1
ACP_positive_319,3.0,1.0,0.0,0.0,1
ACP_positive_320,11.0,0.0,0.0,0.0,1
ACP_positive_321,10.0,0.0,0.0,0.0,1
ACP_positive_322,3.0,0.0,0.0,0.0,1
ACP_positive_323,4.0,2.0,0.0,0.0,1
ACP_positive_324,8.0,0.0,0.0,0.0,1
ACP_positive_325,4.0,0.0,0.0,0.0,1
ACP_positive_326,11.0,0.0,0.0,0.0,1
ACP_positive_327,10.0,0.0,0.0,0.0,1
ACP_positive_328,4.0,0.0,0.0,0.0,1
ACP_positive_329,8.0,0.0,0.0,0.0,1
ACP_positive_330,6.0,1.0,0.0,0.0,1
ACP_positive_331,8.0,1.0,0.0,0.0,1
ACP_positive_332,11.0,0.0,0.0,0.0,1
ACP_positive_333,4.0,0.0,0.0,0.0,1
ACP_positive_334,10.0,0.0,0.0,0.0,1
ACP_positive_335,7.0,0.0,0.0,0.0,1
ACP_positive_336,3.0,1.0,0.0,0.0,1
ACP_positive_337,5.0,1.0,0.0,0.0,1
ACP_positive_338,5.0,0.0,0.0,0.0,1
ACP_positive_339,4.0,0.0,0.0,0.0,1
ACP_positive_340,5.0,1.0,0.0,0.0,1
ACP_positive_341,2.0,0.0,0.0,0.0,1
ACP_positive_342,4.0,0.0,0.0,0.0,1
ACP_positive_343,4.0,2.0,1.0,2.0,1
ACP_positive_344,4.0,0.0,0.0,0.0,1
ACP_positive_345,9.0,0.0,1.0,0.0,1
ACP_positive_346,5.0,1.0,0.0,0.0,1
ACP_positive_347,4.0,0.0,0.0,0.0,1
ACP_positive_348,16.0,0.0,0.0,0.0,1
ACP_positive_349,4.0,0.0,0.0,0.0,1
ACP_positive_350,8.0,0.0,0.0,0.0,1
ACP_positive_351,4.0,0.0,0.0,0.0,1
ACP_positive_352,5.0,0.0,0.0,0.0,1
ACP_positive_353,4.0,0.0,0.0,0.0,1
ACP_positive_354,15.0,0.0,0.0,0.0,1
ACP_positive_355,4.0,0.0,0.0,0.0,1
