name,type3B_T1.G.1_T1.G.1_gap2,type3B_T1.G.1_T1.G.2_gap2,type3B_T1.G.2_T1.G.1_gap2,type3B_T1.G.2_T1.G.2_gap2,target
ACP_positive_1,3.0,2.0,3.0,0.0,1
ACP_positive_2,2.0,1.0,0.0,0.0,1
ACP_positive_3,4.0,0.0,2.0,1.0,1
ACP_positive_4,4.0,0.0,2.0,1.0,1
ACP_positive_5,8.0,1.0,1.0,0.0,1
ACP_positive_6,0.0,2.0,0.0,0.0,1
ACP_positive_7,4.0,1.0,0.0,0.0,1
ACP_positive_8,2.0,1.0,1.0,0.0,1
ACP_positive_9,1.0,1.0,2.0,0.0,1
ACP_positive_10,5.0,0.0,2.0,0.0,1
ACP_positive_11,5.0,1.0,1.0,0.0,1
ACP_positive_12,5.0,1.0,1.0,0.0,1
ACP_positive_13,7.0,2.0,0.0,0.0,1
ACP_positive_14,3.0,0.0,0.0,1.0,1
ACP_positive_15,1.0,2.0,0.0,0.0,1
ACP_positive_16,3.0,0.0,1.0,0.0,1
ACP_positive_17,4.0,1.0,0.0,0.0,1
ACP_positive_18,5.0,0.0,3.0,0.0,1
ACP_positive_19,2.0,3.0,0.0,1.0,1
ACP_positive_20,4.0,2.0,1.0,1.0,1
ACP_positive_21,2.0,0.0,2.0,0.0,1
ACP_positive_22,7.0,2.0,0.0,0.0,1
ACP_positive_23,3.0,0.0,2.0,0.0,1
ACP_positive_24,1.0,1.0,2.0,0.0,1
ACP_positive_25,3.0,1.0,2.0,0.0,1
ACP_positive_26,7.0,1.0,1.0,0.0,1
ACP_positive_27,7.0,0.0,1.0,0.0,1
ACP_positive_28,4.0,0.0,0.0,0.0,1
ACP_positive_29,4.0,0.0,2.0,0.0,1
ACP_positive_30,2.0,1.0,1.0,0.0,1
ACP_positive_31,1.0,3.0,0.0,1.0,1
ACP_positive_32,3.0,3.0,0.0,1.0,1
ACP_positive_33,2.0,0.0,1.0,0.0,1
ACP_positive_34,5.0,1.0,1.0,1.0,1
ACP_positive_35,9.0,0.0,1.0,0.0,1
ACP_positive_36,8.0,4.0,4.0,0.0,1
ACP_positive_37,12.0,2.0,1.0,0.0,1
ACP_positive_38,4.0,1.0,1.0,1.0,1
ACP_positive_39,3.0,1.0,1.0,0.0,1
ACP_positive_40,8.0,1.0,1.0,0.0,1
ACP_positive_41,1.0,1.0,1.0,1.0,1
ACP_positive_42,6.0,1.0,0.0,1.0,1
ACP_positive_43,3.0,0.0,1.0,0.0,1
ACP_positive_44,6.0,1.0,1.0,0.0,1
ACP_positive_45,7.0,1.0,2.0,0.0,1
ACP_positive_46,2.0,1.0,0.0,0.0,1
ACP_positive_47,5.0,1.0,2.0,2.0,1
ACP_positive_48,1.0,3.0,0.0,0.0,1
ACP_positive_49,5.0,1.0,1.0,0.0,1
ACP_positive_50,4.0,1.0,0.0,0.0,1
ACP_positive_51,4.0,0.0,2.0,0.0,1
ACP_positive_52,1.0,1.0,1.0,1.0,1
ACP_positive_53,11.0,2.0,0.0,0.0,1
ACP_positive_54,3.0,1.0,1.0,0.0,1
ACP_positive_55,1.0,2.0,1.0,1.0,1
ACP_positive_56,8.0,1.0,1.0,0.0,1
ACP_positive_57,1.0,3.0,1.0,0.0,1
ACP_positive_58,4.0,1.0,1.0,0.0,1
ACP_positive_59,4.0,3.0,1.0,0.0,1
ACP_positive_60,7.0,3.0,0.0,0.0,1
ACP_positive_61,2.0,1.0,0.0,1.0,1
