name,type5_T1.G.1_T1.G.1_gap2,type5_T1.G.1_T1.G.2_gap2,type5_T1.G.1_T1.G.3_gap2,type5_T1.G.2_T1.G.1_gap2,type5_T1.G.2_T1.G.2_gap2,type5_T1.G.2_T1.G.3_gap2,type5_T1.G.3_T1.G.1_gap2,type5_T1.G.3_T1.G.2_gap2,type5_T1.G.3_T1.G.3_gap2,target
ACP_positive_1,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1
ACP_positive_2,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_3,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_4,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
ACP_positive_5,7.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1
ACP_positive_6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1
ACP_positive_7,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
ACP_positive_8,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_9,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_10,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1
ACP_positive_11,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1
ACP_positive_12,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1
ACP_positive_13,4.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1
ACP_positive_14,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_15,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1
ACP_positive_16,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_17,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1
ACP_positive_18,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1
ACP_positive_19,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1
ACP_positive_20,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1
ACP_positive_21,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_22,3.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1
ACP_positive_23,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_24,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_25,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
ACP_positive_26,6.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1
ACP_positive_27,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_28,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_29,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_30,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_31,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1
ACP_positive_32,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1
ACP_positive_33,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
ACP_positive_34,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
ACP_positive_35,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_36,9.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,1
ACP_positive_37,9.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,1
ACP_positive_38,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_39,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1
ACP_positive_40,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_41,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
ACP_positive_42,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_43,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_44,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1
ACP_positive_45,7.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_46,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_47,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_48,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_49,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1
ACP_positive_50,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
ACP_positive_51,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_52,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_53,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1
ACP_positive_54,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
ACP_positive_55,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_56,7.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_57,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1
ACP_positive_58,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
ACP_positive_59,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1
ACP_positive_60,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_61,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
ACP_positive_62,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
ACP_positive_63,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_64,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_65,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_66,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_67,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_68,7.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1
ACP_positive_69,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1
ACP_positive_70,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1
ACP_positive_71,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_72,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_73,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1
ACP_positive_74,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
ACP_positive_75,7.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_76,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_77,8.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_78,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_79,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_80,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_81,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1
ACP_positive_82,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_83,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1
ACP_positive_84,5.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_85,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_86,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1
ACP_positive_87,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
ACP_positive_88,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1
ACP_positive_89,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_90,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
ACP_positive_91,6.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,1
ACP_positive_92,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1
ACP_positive_93,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_94,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1
ACP_positive_95,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_96,4.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1
ACP_positive_97,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1
ACP_positive_98,8.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_99,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
ACP_positive_100,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1
ACP_positive_101,5.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1
ACP_positive_102,3.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1
ACP_positive_103,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
ACP_positive_104,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
ACP_positive_105,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
ACP_positive_106,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1
ACP_positive_107,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
ACP_positive_108,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
ACP_positive_109,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_110,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_111,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1
ACP_positive_112,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
ACP_positive_113,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
ACP_positive_114,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1
ACP_positive_115,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_116,9.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_117,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_118,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_119,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1
ACP_positive_120,3.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,1
ACP_positive_121,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1
ACP_positive_122,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_123,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_124,4.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1
ACP_positive_125,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_126,10.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1
ACP_positive_127,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1
ACP_positive_128,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_129,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
ACP_positive_130,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_131,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
ACP_positive_132,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1
ACP_positive_133,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_134,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_135,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
ACP_positive_136,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_137,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1
ACP_positive_138,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
ACP_positive_139,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_140,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_141,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_142,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
ACP_positive_143,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1
ACP_positive_144,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_145,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_146,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
ACP_positive_147,11.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_148,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_149,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
ACP_positive_150,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1
ACP_positive_151,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
ACP_positive_152,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_153,6.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1
ACP_positive_154,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ACP_positive_155,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_156,8.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1
ACP_positive_157,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
ACP_positive_158,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
ACP_positive_159,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1
ACP_positive_160,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_161,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
ACP_positive_162,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1
ACP_positive_163,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
ACP_positive_164,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1
ACP_positive_165,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
ACP_positive_166,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
